,nominees,details,imdb_urls,award_show,year,award,winner,ref_year
0,Jared Harris,Chernobyl,https://www.imdb.com//name/nm0364813/?ref_=ev_nom,Satellite,2019,Best Actor in a Miniseries & Limited Series or a Motion Picture Made for Television,1,1
1,Aaron Paul,El Camino: A Breaking Bad Movie,https://www.imdb.com//name/nm0666739/?ref_=ev_nom,Satellite,2019,Best Actor in a Miniseries & Limited Series or a Motion Picture Made for Television,0,1
2,Chris Pine,I Am the Night,https://www.imdb.com//name/nm1517976/?ref_=ev_nom,Satellite,2019,Best Actor in a Miniseries & Limited Series or a Motion Picture Made for Television,0,1
3,Jharrel Jerome,When They See Us,https://www.imdb.com//name/nm7851611/?ref_=ev_nom,Satellite,2019,Best Actor in a Miniseries & Limited Series or a Motion Picture Made for Television,0,1
4,Russell Crowe,The Loudest Voice,https://www.imdb.com//name/nm0000128/?ref_=ev_nom,Satellite,2019,Best Actor in a Miniseries & Limited Series or a Motion Picture Made for Television,0,1
5,Sam Rockwell,Fosse/Verdon,https://www.imdb.com//name/nm0005377/?ref_=ev_nom,Satellite,2019,Best Actor in a Miniseries & Limited Series or a Motion Picture Made for Television,0,1
0,Taron Egerton,Rocketman,https://www.imdb.com//name/nm5473782/?ref_=ev_nom,Satellite,2019,"Best Actor in a Motion Picture, Comedy or Musical",1,1
1,Adam Sandler,Uncut Gems,https://www.imdb.com//name/nm0001191/?ref_=ev_nom,Satellite,2019,"Best Actor in a Motion Picture, Comedy or Musical",0,1
2,Daniel Craig,Knives Out,https://www.imdb.com//name/nm0185819/?ref_=ev_nom,Satellite,2019,"Best Actor in a Motion Picture, Comedy or Musical",0,1
3,Eddie Murphy,Dolemite Is My Name,https://www.imdb.com//name/nm0000552/?ref_=ev_nom,Satellite,2019,"Best Actor in a Motion Picture, Comedy or Musical",0,1
4,Leonardo DiCaprio,Once Upon a Time... in Hollywood,https://www.imdb.com//name/nm0000138/?ref_=ev_nom,Satellite,2019,"Best Actor in a Motion Picture, Comedy or Musical",0,1
5,Taika Waititi,Jojo Rabbit,https://www.imdb.com//name/nm0169806/?ref_=ev_nom,Satellite,2019,"Best Actor in a Motion Picture, Comedy or Musical",0,1
0,Christian Bale,Ford v Ferrari,https://www.imdb.com//name/nm0000288/?ref_=ev_nom,Satellite,2019,"Best Actor in a Motion Picture, Drama",1,1
1,Adam Driver,Marriage Story,https://www.imdb.com//name/nm3485845/?ref_=ev_nom,Satellite,2019,"Best Actor in a Motion Picture, Drama",0,1
2,Antonio Banderas,Pain and Glory,https://www.imdb.com//name/nm0000104/?ref_=ev_nom,Satellite,2019,"Best Actor in a Motion Picture, Drama",0,1
3,George MacKay,1917,https://www.imdb.com//name/nm1126657/?ref_=ev_nom,Satellite,2019,"Best Actor in a Motion Picture, Drama",0,1
4,Joaquin Phoenix,Joker,https://www.imdb.com//name/nm0001618/?ref_=ev_nom,Satellite,2019,"Best Actor in a Motion Picture, Drama",0,1
5,Mark Ruffalo,Dark Waters,https://www.imdb.com//name/nm0749263/?ref_=ev_nom,Satellite,2019,"Best Actor in a Motion Picture, Drama",0,1
0,Thomas Middleditch,Silicon Valley,https://www.imdb.com//name/nm3042755/?ref_=ev_nom,Satellite,2019,"Best Actor in a Series, Comedy or Musical",1,1
1,Bill Hader,Barry,https://www.imdb.com//name/nm0352778/?ref_=ev_nom,Satellite,2019,"Best Actor in a Series, Comedy or Musical",0,1
2,Danny McBride,The Righteous Gemstones,https://www.imdb.com//name/nm1144419/?ref_=ev_nom,Satellite,2019,"Best Actor in a Series, Comedy or Musical",0,1
3,Eugene Levy,Schitt's Creek,https://www.imdb.com//name/nm0506405/?ref_=ev_nom,Satellite,2019,"Best Actor in a Series, Comedy or Musical",0,1
4,Michael Douglas,The Kominsky Method,https://www.imdb.com//name/nm0000140/?ref_=ev_nom,Satellite,2019,"Best Actor in a Series, Comedy or Musical",0,1
5,Ted Danson,The Good Place,https://www.imdb.com//name/nm0001101/?ref_=ev_nom,Satellite,2019,"Best Actor in a Series, Comedy or Musical",0,1
0,Tobias Menzies,The Crown,https://www.imdb.com//name/nm0580014/?ref_=ev_nom,Satellite,2019,"Best Actor in a Series, Drama/Genre",1,1
1,Billy Bob Thornton,Goliath,https://www.imdb.com//name/nm0000671/?ref_=ev_nom,Satellite,2019,"Best Actor in a Series, Drama/Genre",0,1
2,Brendan Gleeson,Mr. Mercedes,https://www.imdb.com//name/nm0322407/?ref_=ev_nom,Satellite,2019,"Best Actor in a Series, Drama/Genre",0,1
3,Brian Cox,Succession,https://www.imdb.com//name/nm0004051/?ref_=ev_nom,Satellite,2019,"Best Actor in a Series, Drama/Genre",0,1
4,Damian Lewis,Billions,https://www.imdb.com//name/nm0507073/?ref_=ev_nom,Satellite,2019,"Best Actor in a Series, Drama/Genre",0,1
5,Jonathan Groff,Mindhunter,https://www.imdb.com//name/nm2676147/?ref_=ev_nom,Satellite,2019,"Best Actor in a Series, Drama/Genre",0,1
0,Willem Dafoe,The Lighthouse,https://www.imdb.com//name/nm0000353/?ref_=ev_nom,Satellite,2019,Best Actor in a Supporting Role,1,1
1,Anthony Hopkins,The Two Popes,https://www.imdb.com//name/nm0000164/?ref_=ev_nom,Satellite,2019,Best Actor in a Supporting Role,0,1
2,Brad Pitt,Once Upon a Time... in Hollywood,https://www.imdb.com//name/nm0000093/?ref_=ev_nom,Satellite,2019,Best Actor in a Supporting Role,0,1
3,Joe Pesci,The Irishman,https://www.imdb.com//name/nm0000582/?ref_=ev_nom,Satellite,2019,Best Actor in a Supporting Role,0,1
4,Tom Hanks,A Beautiful Day in the Neighborhood,https://www.imdb.com//name/nm0000158/?ref_=ev_nom,Satellite,2019,Best Actor in a Supporting Role,0,1
5,Wendell Pierce,Burning Cane,https://www.imdb.com//name/nm0682495/?ref_=ev_nom,Satellite,2019,Best Actor in a Supporting Role,0,1
0,Jeremy Strong,Succession,https://www.imdb.com//name/nm0834989/?ref_=ev_nom,Satellite,2019,"Best Actor in a Supporting Role in a Series, Miniseries & Limited Series or a Motion Picture Made for Television",1,1
1,Alan Arkin,The Kominsky Method,https://www.imdb.com//name/nm0000273/?ref_=ev_nom,Satellite,2019,"Best Actor in a Supporting Role in a Series, Miniseries & Limited Series or a Motion Picture Made for Television",0,1
2,Andrew Scott,Fleabag,https://www.imdb.com//name/nm0778831/?ref_=ev_nom,Satellite,2019,"Best Actor in a Supporting Role in a Series, Miniseries & Limited Series or a Motion Picture Made for Television",0,1
3,Dennis Quaid,Goliath,https://www.imdb.com//name/nm0000598/?ref_=ev_nom,Satellite,2019,"Best Actor in a Supporting Role in a Series, Miniseries & Limited Series or a Motion Picture Made for Television",0,1
4,Stellan Skarsgård,Chernobyl,https://www.imdb.com//name/nm0001745/?ref_=ev_nom,Satellite,2019,"Best Actor in a Supporting Role in a Series, Miniseries & Limited Series or a Motion Picture Made for Television",0,1
5,Tony Shalhoub,The Marvelous Mrs. Maisel,https://www.imdb.com//name/nm0001724/?ref_=ev_nom,Satellite,2019,"Best Actor in a Supporting Role in a Series, Miniseries & Limited Series or a Motion Picture Made for Television",0,1
6,Walton Goggins,The Righteous Gemstones,https://www.imdb.com//name/nm0324658/?ref_=ev_nom,Satellite,2019,"Best Actor in a Supporting Role in a Series, Miniseries & Limited Series or a Motion Picture Made for Television",0,1
0,Michelle Williams,Fosse/Verdon,https://www.imdb.com//name/nm0931329/?ref_=ev_nom,Satellite,2019,Best Actress in a Miniseries & Limited Series or a Motion Picture Made for Television,1,1
1,Aunjanue Ellis,When They See Us,https://www.imdb.com//name/nm0254712/?ref_=ev_nom,Satellite,2019,Best Actress in a Miniseries & Limited Series or a Motion Picture Made for Television,0,1
2,Helen Mirren,Catherine the Great,https://www.imdb.com//name/nm0000545/?ref_=ev_nom,Satellite,2019,Best Actress in a Miniseries & Limited Series or a Motion Picture Made for Television,0,1
3,India Eisley,I Am the Night,https://www.imdb.com//name/nm2086223/?ref_=ev_nom,Satellite,2019,Best Actress in a Miniseries & Limited Series or a Motion Picture Made for Television,0,1
4,Joey King,The Act,https://www.imdb.com//name/nm1428821/?ref_=ev_nom,Satellite,2019,Best Actress in a Miniseries & Limited Series or a Motion Picture Made for Television,0,1
5,Niecy Nash,When They See Us,https://www.imdb.com//name/nm0621788/?ref_=ev_nom,Satellite,2019,Best Actress in a Miniseries & Limited Series or a Motion Picture Made for Television,0,1
0,Awkwafina,The Farewell,https://www.imdb.com//name/nm5377144/?ref_=ev_nom,Satellite,2019,"Best Actress in a Motion Picture, Comedy or Musical",1,1
1,Ana de Armas,Knives Out,https://www.imdb.com//name/nm1869101/?ref_=ev_nom,Satellite,2019,"Best Actress in a Motion Picture, Comedy or Musical",0,1
2,Constance Wu,Hustlers,https://www.imdb.com//name/nm2090422/?ref_=ev_nom,Satellite,2019,"Best Actress in a Motion Picture, Comedy or Musical",0,1
3,Julianne Moore,Gloria Bell,https://www.imdb.com//name/nm0000194/?ref_=ev_nom,Satellite,2019,"Best Actress in a Motion Picture, Comedy or Musical",0,1
0,Scarlett Johansson,Marriage Story,https://www.imdb.com//name/nm0424060/?ref_=ev_nom,Satellite,2019,"Best Actress in a Motion Picture, Drama",1,1
1,Alfre Woodard,Clemency,https://www.imdb.com//name/nm0005569/?ref_=ev_nom,Satellite,2019,"Best Actress in a Motion Picture, Drama",0,1
2,Charlize Theron,Bombshell,https://www.imdb.com//name/nm0000234/?ref_=ev_nom,Satellite,2019,"Best Actress in a Motion Picture, Drama",0,1
3,Cynthia Erivo,Harriet,https://www.imdb.com//name/nm7248827/?ref_=ev_nom,Satellite,2019,"Best Actress in a Motion Picture, Drama",0,1
4,Helen Mirren,The Good Liar,https://www.imdb.com//name/nm0000545/?ref_=ev_nom,Satellite,2019,"Best Actress in a Motion Picture, Drama",0,1
5,Renée Zellweger,Judy,https://www.imdb.com//name/nm0000250/?ref_=ev_nom,Satellite,2019,"Best Actress in a Motion Picture, Drama",0,1
0,Phoebe Waller-Bridge,Fleabag,https://www.imdb.com//name/nm3564817/?ref_=ev_nom,Satellite,2019,"Best Actress in a Series, Comedy or Musical",1,1
1,Alison Brie,GLOW,https://www.imdb.com//name/nm1555340/?ref_=ev_nom,Satellite,2019,"Best Actress in a Series, Comedy or Musical",0,1
2,Catherine O'Hara,Schitt's Creek,https://www.imdb.com//name/nm0001573/?ref_=ev_nom,Satellite,2019,"Best Actress in a Series, Comedy or Musical",0,1
3,Christina Applegate,Dead to Me,https://www.imdb.com//name/nm0000775/?ref_=ev_nom,Satellite,2019,"Best Actress in a Series, Comedy or Musical",0,1
4,Natasha Lyonne,Russian Doll,https://www.imdb.com//name/nm0005169/?ref_=ev_nom,Satellite,2019,"Best Actress in a Series, Comedy or Musical",0,1
