,Unnamed: 0,nominees,details,imdb_urls,award_show,year,award,winner,ref_year,metabase,rating,popularity,genres,budget,gross,minute,American Cinema Editors,BAFTA,Chicago Film Critics,Critics Choice,Golden Globes,Satellite
0,0,1917,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren, Callum McDougall",https://www.imdb.com//title/tt8579674/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,1,1,78,8.5,1,"['Drama', 'War']",100000000,254142909,119,-1.0,1.0,-1.0,0.0,1.0,-1.0
1,1,Ford v Ferrari,"Peter Chernin, Jenno Topping, James Mangold",https://www.imdb.com//title/tt1950186/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,81,8.2,13,"['Action', 'Biography', 'Drama', 'Sport']",97600000,222277771,152,0.0,-1.0,-1.0,0.0,-1.0,-1.0
2,2,Jojo Rabbit,"Carthew Neal, Taika Waititi",https://www.imdb.com//title/tt2584384/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,58,8.0,8,"['Comedy', 'Drama', 'War']",349555,65647700,108,1.0,-1.0,-1.0,0.0,0.0,-1.0
3,3,Joker,"Todd Phillips, Bradley Cooper, Emma Tillinger Koskoff",https://www.imdb.com//title/tt7286456/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,59,8.6,9,"['Crime', 'Drama', 'Thriller']",55000000,1071884607,122,0.0,0.0,-1.0,0.0,0.0,-1.0
4,4,Little Women,Amy Pascal,https://www.imdb.com//title/tt3281548/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,91,8.1,11,"['Drama', 'Romance']",40000000,164959722,135,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
5,5,Marriage Story,"Noah Baumbach, David Heyman",https://www.imdb.com//title/tt7653254/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,93,8.1,23,"['Comedy', 'Drama', 'Romance']",18600000,323382,137,0.0,-1.0,-1.0,0.0,0.0,-1.0
6,6,Once Upon a Time... in Hollywood,"David Heyman, Shannon McIntosh, Quentin Tarantino",https://www.imdb.com//title/tt7131622/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,83,7.7,10,"['Comedy', 'Drama']",90000000,374035441,161,0.0,0.0,-1.0,1.0,1.0,-1.0
7,7,Parasite,"Sin-ae Kwak, Bong Joon Ho",https://www.imdb.com//title/tt6751668/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,96,8.6,3,"['Comedy', 'Crime', 'Drama', 'Thriller']",393216,163862304,132,1.0,0.0,-1.0,0.0,-1.0,-1.0
8,8,The Irishman,"Martin Scorsese, Robert De Niro, Jane Rosenthal, Emma Tillinger Koskoff",https://www.imdb.com//title/tt1302006/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,94,8.0,15,"['Biography', 'Crime', 'Drama']",159000000,961224,209,0.0,0.0,-1.0,0.0,0.0,-1.0
9,0,Green Book,"Jim Burke, Charles B. Wessler, Brian Hayes Currie, Peter Farrelly, Nick Vallelonga",https://www.imdb.com//title/tt6966692/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,1,2,69,8.2,111,"['Biography', 'Comedy', 'Drama', 'Music']",23000000,329717166,130,0.0,0.0,-1.0,0.0,1.0,-1.0
10,1,A Star Is Born,"Bill Gerber, Bradley Cooper, Lynette Howell Taylor",https://www.imdb.com//title/tt1517451/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,0,2,88,7.7,281,"['Drama', 'Music', 'Romance']",36000000,436188866,136,0.0,0.0,-1.0,0.0,0.0,-1.0
11,2,BlacKkKlansman,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele, Spike Lee",https://www.imdb.com//title/tt7349662/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,0,2,83,7.5,324,"['Biography', 'Crime', 'Drama']",15000000,93400823,135,0.0,0.0,-1.0,0.0,0.0,-1.0
12,3,Black Panther,Kevin Feige,https://www.imdb.com//title/tt1825683/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,0,2,88,7.3,239,"['Action', 'Adventure', 'Sci-Fi']",200000000,1346913161,134,-1.0,-1.0,-1.0,0.0,0.0,-1.0
13,4,Bohemian Rhapsody,Graham King,https://www.imdb.com//title/tt1727824/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,0,2,49,8.0,198,"['Biography', 'Drama', 'Music']",52000000,903655259,134,1.0,-1.0,-1.0,-1.0,1.0,-1.0
