,nominees,details,imdb_urls,award_show,year,award,winner,ref_year,metabase,rating,popularity,genres,budget,gross,minute,American Cinema Editors,BAFTA,Chicago Film Critics,Critics Choice,Golden Globes,Satellite,date,tt,tomatoURL,avg_score
0,1917,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren, Callum McDougall",https://www.imdb.com//title/tt8579674/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,1,1,78,8.5,1.0,"['Drama', 'War']",100000000.0,254142909,119,-1.0,1.0,-1.0,0.0,1.0,-1.0,"February 9, 2020",tt8579674,https://www.rottentomatoes.com/m/1917_2019,0.8389189189189186
1,Ford v Ferrari,"Peter Chernin, Jenno Topping, James Mangold",https://www.imdb.com//title/tt1950186/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,81,8.2,13.0,"['Action', 'Biography', 'Drama', 'Sport']",97600000.0,222277771,152,0.0,-1.0,-1.0,0.0,-1.0,-1.0,"February 9, 2020",tt1950186,https://www.rottentomatoes.com/m/ford_v_ferrari,0.7880454545454547
2,Jojo Rabbit,"Carthew Neal, Taika Waititi",https://www.imdb.com//title/tt2584384/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,58,8.0,8.0,"['Comedy', 'Drama', 'War']",349555.0,65647700,108,1.0,-1.0,-1.0,0.0,0.0,-1.0,"February 9, 2020",tt2584384,https://www.rottentomatoes.com/m/jojo_rabbit,0.7585294117647061
3,Joker,"Todd Phillips, Bradley Cooper, Emma Tillinger Koskoff",https://www.imdb.com//title/tt7286456/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,59,8.6,9.0,"['Crime', 'Drama', 'Thriller']",55000000.0,1071884607,122,0.0,0.0,-1.0,0.0,0.0,-1.0,"February 9, 2020",tt7286456,https://www.rottentomatoes.com/m/joker_2019,0.7386500000000001
4,Little Women,Amy Pascal,https://www.imdb.com//title/tt3281548/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,91,8.1,11.0,"['Drama', 'Romance']",40000000.0,164959722,135,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"February 9, 2020",tt3281548,https://www.rottentomatoes.com/m/little_women_2019,0.8435714285714284
5,Marriage Story,"Noah Baumbach, David Heyman",https://www.imdb.com//title/tt7653254/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,93,8.1,23.0,"['Comedy', 'Drama', 'Romance']",18600000.0,323382,137,0.0,-1.0,-1.0,0.0,0.0,-1.0,"February 9, 2020",tt7653254,https://www.rottentomatoes.com/m/marriage_story_2019,0.8511864406779657
6,Once Upon a Time... in Hollywood,"David Heyman, Shannon McIntosh, Quentin Tarantino",https://www.imdb.com//title/tt7131622/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,83,7.7,10.0,"['Comedy', 'Drama']",90000000.0,374035441,161,0.0,0.0,-1.0,1.0,1.0,-1.0,"February 9, 2020",tt7131622,https://www.rottentomatoes.com/m/once_upon_a_time_in_hollywood,0.7941903357425745
7,Parasite,"Sin-ae Kwak, Bong Joon Ho",https://www.imdb.com//title/tt6751668/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,96,8.6,3.0,"['Comedy', 'Crime', 'Drama', 'Thriller']",393216.0,163862304,132,1.0,0.0,-1.0,0.0,-1.0,-1.0,"February 9, 2020",tt6751668,https://www.rottentomatoes.com/m/parasite_2019,0.9061546862745097
8,The Irishman,"Martin Scorsese, Robert De Niro, Jane Rosenthal, Emma Tillinger Koskoff",https://www.imdb.com//title/tt1302006/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,94,8.0,15.0,"['Biography', 'Crime', 'Drama']",159000000.0,961224,209,0.0,0.0,-1.0,0.0,0.0,-1.0,"February 9, 2020",tt1302006,https://www.rottentomatoes.com/m/the_irishman_2019,0.8641666666666666
9,Green Book,"Jim Burke, Charles B. Wessler, Brian Hayes Currie, Peter Farrelly, Nick Vallelonga",https://www.imdb.com//title/tt6966692/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,1,2,69,8.2,111.0,"['Biography', 'Comedy', 'Drama', 'Music']",23000000.0,329717166,130,0.0,0.0,-1.0,0.0,1.0,-1.0,"February 24, 2019",tt6966692,https://www.rottentomatoes.com/m/green_book,0.7327272727272726
10,A Star Is Born,"Bill Gerber, Bradley Cooper, Lynette Howell Taylor",https://www.imdb.com//title/tt1517451/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,0,2,88,7.7,281.0,"['Drama', 'Music', 'Romance']",36000000.0,436188866,136,0.0,0.0,-1.0,0.0,0.0,-1.0,"February 24, 2019",tt1517451,http://www.rottentomatoes.com/m/a_star_is_born/,0.8180317321333335
11,BlacKkKlansman,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele, Spike Lee",https://www.imdb.com//title/tt7349662/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,0,2,83,7.5,324.0,"['Biography', 'Crime', 'Drama']",15000000.0,93400823,135,0.0,0.0,-1.0,0.0,0.0,-1.0,"February 24, 2019",tt7349662,https://www.rottentomatoes.com/m/black_klansman_2018,0.8339062500000001
12,Black Panther,Kevin Feige,https://www.imdb.com//title/tt1825683/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,0,2,88,7.3,239.0,"['Action', 'Adventure', 'Sci-Fi']",200000000.0,1346913161,134,-1.0,-1.0,-1.0,0.0,0.0,-1.0,"February 24, 2019",tt1825683,http://www.rottentomatoes.com/m/black_panther_2018/,0.8279920512500002
13,Bohemian Rhapsody,Graham King,https://www.imdb.com//title/tt1727824/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,0,2,49,8.0,198.0,"['Biography', 'Drama', 'Music']",52000000.0,903655259,134,1.0,-1.0,-1.0,-1.0,1.0,-1.0,"February 24, 2019",tt1727824,https://www.rottentomatoes.com/m/bohemian_rhapsody,0.6165909090909089
14,Roma,"Gabriela Rodriguez, Alfonso Cuarón",https://www.imdb.com//title/tt6155172/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,0,2,96,7.7,371.0,['Drama'],,1148031,135,0.0,1.0,-1.0,1.0,-1.0,-1.0,"February 24, 2019",tt6155172,https://www.rottentomatoes.com/m/roma_2018,0.8680434782608691
